name,abv,ibu,type,country
"Golser Premium",5.0,11.9,Vollbier Märzen,Austria
"Golser Helles",5.2,12.2,Vollbier Lager,Autria
"Zwettler Original",5.1,11.9,"",Austria
"Zwettler Export Lager",5.0,11.8,"",Austria
"Zwettler Pils",4.9,11.5,"",Austria
"Zwettler Zwickl",5.5,12.5,"",Austria
"Zwettler Dunkles",3.4,11.5,"",Austria
"Zwettler Kuenringer Festbock",6.8,16.2,"",Austria
"Zwettler Saphir (Premium Pils)",5.3,12.3,"",Austria
"Zwettler Black Magic (Austrian Porter)",7.4,18.2,"",Austria
"Weitra Helles",5.0,11.8,"",Austria
"Hadmar Bio",5.2,12.5,bio,Austria
"Schremser Premium",5.1,11.9,"Vollbier Lager",Austria
"Schremser Edelmärzen",5.0,11.9,"",Austria
"Schremser Pils",4.5,11.2,"",Austria
"Schremser Doppelmalz",4.6,11.9,"",Austria
"Schremser Bio Roggen|Schremser Roggen",5.2,11.9,roggenbier
"Schremser Bio Naturpark",5.1,11.9,"",Austria
"Schremser Zwickl",5.1,11.9,"",Austria
"Schremser Vienna I.P.",4.8,11.3,"",Austria
"Haselbräu Helles",4.9,11.8,"",Austria
"Medl Bräu Märzen",4.9,12.2,"",Austria
"Haselbräu Böhmisches",4.9,11.8,"",Austria
"Haselbräu Bruder - Foreign Extra Stout",6.8%,NULL,starkbier
"Haselbräu Brown Ale",5.2,NULL,"",Austria
"Hasel Bock Hell",6.8,NULL,"",Austria
"Haselbräu Herbstbier",5.7,NULL,"",Austria
"Haselbräu Adventbier",6.2,NULL,"",Austria
"7 Stern Wiener Helles",4.7,11.8,"",Austria
"7 Stern Märzen",5.1,13.5,"",Austria
"7 Stern Weizen Classic",5.2,12.7,weissbier,Austria
"7 Stern Prager Dunkles",4.5,12.1,"",Austria
"Beaver Blue Ribbon (BBR)|BBR: Beaver Blue Ribbon",4.9,NULL,organic_lager|zwickl,Austria
"Wry P.A.|Wry Pale Ale",5.7,NULL,"rye pale ale",Austria
"Late Summer IPA",6.4,NULL,"american ipa",Austria
"State of Nature|State of Nature American Wheat",5.3,NULL,"american wheat",Austria
"Sunday Morning|Sunday Morning Golden Ale",5.5,NULL,"golden ale",Austria
"Witty Bastard|Witty Bastard Witbier",4.1,NULL,witbier,Austria
"Charlie|Charlie Brown Ale",5.4,NULL,"",Austria
"Brave Lion|Brave Lion Golden Strong Ale",8.4,NULL,"belgian-style golden strong ale",Austria
"ESP|ESP - English Special Bitter (ESB)",5.2,NULL,"",Austria
"Modern Lager",5,NULL,"american lager",Austria
"Cobretti",8.5,NULL,"double ipa",Austria
"‹Villacher› Märzen",5.0,11.8,"",Austria
"‹Villacher› Pils",4.9,11.7,"",Austria
"‹Villacher› Dunkel",4.9,12.8,"",Austria
"‹Villacher› Pur",4.0,9.5,"",Austria
"‹Villacher› Edition",4.6,11.7,"",Austria
"‹Villacher› Selection Red",7.0,15.8,"",Austria
"‹Villacher› Oktoberbräu",5.3,12.9,"",Austria
"‹Piestinger› Lager",5.0,11.8,"",Austria
